dt,time_hr,place,price_actual
2/2/2022,17,germany,238.01
2/2/2022,18,germany,266.9
2/2/2022,19,germany,265
2/2/2022,20,germany,237
2/2/2022,21,germany,203.47
2/2/2022,22,germany,195.21
2/2/2022,23,germany,184.26
2/3/2022,0,germany,156.98
2/3/2022,1,germany,159.06
2/3/2022,2,germany,159.33
2/3/2022,3,germany,157.56
2/3/2022,4,germany,158.81
2/3/2022,5,germany,162.92
2/3/2022,6,germany,192.17
2/3/2022,7,germany,209.91
2/3/2022,8,germany,226.97
2/3/2022,9,germany,223.33
2/3/2022,10,germany,213.26
2/3/2022,11,germany,209
2/3/2022,12,germany,194.85
2/3/2022,13,germany,191.46
2/3/2022,14,germany,196.97
2/3/2022,15,germany,209.67
2/3/2022,16,germany,207.61
2/3/2022,17,germany,224.15
2/3/2022,18,germany,237.78
2/3/2022,19,germany,224.96
2/3/2022,20,germany,209.53
2/3/2022,21,germany,186.82
2/3/2022,22,germany,187.24
2/3/2022,23,germany,145.05
2/4/2022,0,germany,138.71
2/4/2022,1,germany,128
2/4/2022,2,germany,126.17
2/4/2022,3,germany,127.69
2/4/2022,4,germany,124.27
2/4/2022,5,germany,120.37
2/4/2022,6,germany,151.45
2/4/2022,7,germany,192.43
2/4/2022,8,germany,219.12
2/4/2022,9,germany,169.66
2/4/2022,10,germany,133.05
2/4/2022,11,germany,133
2/4/2022,12,germany,131.04
2/4/2022,13,germany,120.57
2/4/2022,14,germany,117.45
2/4/2022,15,germany,117.81
2/4/2022,16,germany,119.04
2/4/2022,17,germany,128.44
2/4/2022,18,germany,151.28
2/4/2022,19,germany,119.27
2/4/2022,20,germany,106.86
2/4/2022,21,germany,108.21
2/4/2022,22,germany,105.57
2/4/2022,23,germany,87.38
2/5/2022,0,germany,98.96
2/5/2022,1,germany,88.81
2/5/2022,2,germany,65.56
2/5/2022,3,germany,49.98
2/5/2022,4,germany,57.59
2/5/2022,5,germany,63.11
2/5/2022,6,germany,84.95
2/5/2022,7,germany,114.57
2/5/2022,8,germany,115.88
2/5/2022,9,germany,135.14
2/5/2022,10,germany,102.51
2/5/2022,11,germany,114.34
2/5/2022,12,germany,88.77
2/5/2022,13,germany,74.32
2/5/2022,14,germany,69.03
2/5/2022,15,germany,87.82
2/5/2022,16,germany,120.12
2/5/2022,17,germany,150.6
2/5/2022,18,germany,146.6
2/5/2022,19,germany,115.86
2/5/2022,20,germany,106.12
2/5/2022,21,germany,39.87
2/5/2022,22,germany,31.98
2/5/2022,23,germany,10.98
2/6/2022,0,germany,10.36
2/6/2022,1,germany,9.23
2/6/2022,2,germany,5.8
2/6/2022,3,germany,0.17
2/6/2022,4,germany,1.38
2/6/2022,5,germany,7.45
2/6/2022,6,germany,0.12
2/6/2022,7,germany,4.2
2/6/2022,8,germany,10.84
2/6/2022,9,germany,12.36
2/6/2022,10,germany,13.75
